Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
MOSAIC SOLAR LOAN TRUST 2021-2,United States,,Financials - Specialty finance,Green,4,0.19bn,October 2017,https://dl.luxse.com/dl?v=aM6Gn/gmcvcV+JSYgSrhvtDCmh6AVqB/x9ZcWWfknp6uECVRIL2f3dy2K1ClwMC7OCB78OeS0gkz46m1fP4KZLjmONwAUBMiUaxgQrdTry9F+H2MlOS4pIDkf+pm9lp6,Sustainalytics,June 2021
MOSAIC SOLAR LOAN TRUST 2021-3,United States,,Financials - Specialty finance,Green,4,0.22bn,October 2017,https://dl.luxse.com/dl?v=tef7ErEFQj7Aqi1xQD3+9E+OOar06vms6O4I8fKxh4jVcO/TO8bu5XfNAV4l6DEdOzws0Ngu8XGdLncuHue/ld2nKkwFfhxuwvgNMEITTvtWIJ6GUD+p916WYw/8IyxY,Sustainalytics,September 2021
MOSAIC SOLAR LOAN TRUST 2022-1,United States,,Financials - Specialty finance,Green,4,0.38bn,October 2017,https://dl.luxse.com/dl?v=NQmOPAr0PGIr7evhzrFRvdaFMNKKCOzUuIMl0JJkCkqjHxSc13B6vaaz21Uus6yGtyEOU5DJsEPIw5AFzOsFs05CqUdiAmWIThyb/24Xj5SEyNQJmZARWoQgczxHt2cc,Sustainalytics,March 2022
MOSAIC SOLAR LOAN TRUST 2022-2,United States,,Financials - Specialty finance,Green,4,0.23bn,October 2017,https://dl.luxse.com/dl?v=gryd9rj6hUMIbx9pQpdCSEHG/8ECL1j2kNv5s1U2v4I9Q+Tm2huiASF+FVxi43UboJ+LJPxOVmmsWm3aK4b2bIx9KU3DAbYT31TczmqoLlNDydlgEXaIMXGn6+swA1H9,Sustainalytics,October 2017
MOSAIC SOLAR LOAN TRUST 2022-3,United States,,Financials - Specialty finance,Green,4,0.20bn,October 2017,https://dl.luxse.com/dl?v=X9nZqYhIhycVmvsIRUzg4z0uMYDblUBKnJhIrhFZl2KfSpSWUBkQiJ4/JVIz8CLpK3dIibRTJC8vRtMwOwKZSJWSTqXAvZm6r2W+fBtOLIpjlXJr1pp06DpEao5DSYWS,Sustainalytics,December 2022
MOSAIC SOLAR LOAN TRUST 2023-1,United States,,Financials - Specialty finance,Green,4,0.21bn,October 2017,https://dl.luxse.com/dl?v=yMYhvDGasb8XawXCKjEdDRVtt5NmPJMpVZTGsIXqGt+8tJyT5hqdyEAVvTeSapIE/C2mC+u/eds9N/sM0FduTBbkanJRprq4JgmpUAt3jAwkgibZqTEMgjYYUWdwMpUE,Sustainalytics,October 2017
MOSAIC SOLAR LOAN TRUST 2023-2,United States,,Financials - Specialty finance,Green,4,0.30bn,October 2017,https://dl.luxse.com/dl?v=JUSYvkrCRymPQAsUIP3O/7oA3BV/YZm7Hdv1TVF/KA6OtDEnr8ahILFhAVmJNUo/MdTdB9g6kHvO/UyeHO99hUeHWgn9eCbbB/77aLe//+q9BG8edbuEUtY0BXxbGRfx,Sustainalytics,October 2017
MOSAIC SOLAR LOAN TRUST 2023-3,United States,,Financials - Specialty finance,Green,4,0.27bn,October 2017,https://dl.luxse.com/dl?v=vWbE1ju62urfG5ZGcAH/fkl31n0XInT5HTSaXjrrUI93R9JFi/hHqK3sQusSPijZ919q462cq1NpEBLt8UUdmxdI2i92X7L6SvOK2xhVP0VFHzaH0OItdNaouCldceU3,Sustainalytics,May 2023
MOSAIC SOLAR LOAN TRUST 2023-4,United States,,Financials - Specialty finance,Green,4,0.14bn,October 2017,https://dl.luxse.com/dl?v=LVHZq2CPUg1IOKB7fDji2VF1W4GJqRqLO8ByU949h0VmRM0TD/kUFPSecDmaAXRpAXt/xjil4VqruRzynApNKgRMJ8+pKaQbgAVKSvDlr7DiJBe+eoD09tJS8BoVxGCo,Sustainalytics,September 2023
MOSAIC SOLAR LOAN TRUST 2024-1,United States,,Financials - Specialty finance,Green,4,0.21bn,October 2017,https://dl.luxse.com/dl?v=KguHvN4ksy6oqr7o76ayS4vPENu5dGEuCCj6bPl/FcpPV98R3KmjTxLwvCUo08Qc1hsbjFmah/d10aojTjIY3FTWJpXcX0QcaI57111TUZA3ntXf/vTrM6mNgkIWsebb,Sustainalytics,October 2017
MOSAIC SOLAR LOANS 2017-1 LLC,United States,,Financials - Specialty finance,Green,2,0.28bn,January 2017,https://dl.luxse.com/dl?v=4z+IvDDKwUh76yoliCzPV1PDOWEbsFeJBiek5ZnV13ox7NMFc8y/qTUHCvFsHmXE+j0LEJHc2N3klkOgSkh//PumrkVB+iXknw1AvrsHWrEbuR9hE/abad01yuUtNYMd,Sustainalytics,January 2017
MOSAIC SOLAR LOANS 2017-2 LLC,United States,,Financials - Specialty finance,Green,4,0.31bn,October 2017,https://dl.luxse.com/dl?v=UnrXLwWkFjHbXkGba5O1J8iCOz51xlIL77VxUAgrSC+sgqKimMAvsTuCdJ27xwMEP41Tu+iWxRgLmKWVjrMGPv9tFrujPt7vokI5tMkp8x1SVX//o6JavCdCsaxNJGVD,Sustainalytics,October 2017
MOTABILITY OPERATIONS GROUP PLC,United Kingdom,,Corporate - Industrials,Social,13,8.85bn,,,DNV GL,June 2020
"MOTA-ENGIL, SGPS, S.A.",Portugal,,Corporate - Industrials,Sustainability Linked Bonds,2,0.22bn,,,S&P,September 2022
MOVIDA EUROPE SA,Brazil,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.80bn,,,ISS ESG,January 2021
MOVIDA PARTICIPACOES SA,Brazil,,Corporate - Consumer Discretionary,Green,3,0.31bn,,,,
MOWI ASA,Norway,,Corporate - Consumer Staples,Green,2,0.32bn,,,Cicero,January 2020
MP MATERIALS CORP,United States,,Corporate - Materials,Green,1,0.69bn,,,,
MPACT TREASURY CO PTE LTD,Singapore,,Financials - Real estate,Green,2,0.26bn,,,EY,September 2022
MPC CONTAINER SHIPS ASA,Norway,,Corporate - Industrials,Sustainability Linked Bonds,1,0.13bn,,,Other,September 2024
MPT FINCO INC,Canada,,Corporate - Energy,Green,2,0.48bn,September 2018,https://dl.luxse.com/dl?v=g33rI7sApKnXNspvMkGbM9U0KuYTf5Rzdfhv1bHbIxcNxjdxx/067x4mPz+3vVznRcrSNGWazZaPL7VzHhrgzhyddvT+Vr56q9JrU4rGsgKKuiI/nefgNj1q7hEGlL2A,S&P,October 2019
MTR CORP CI LTD,Cayman Islands,,Corporate - Consumer Discretionary,Green,2,0.73bn,October 2016,https://dl.luxse.com/dl?v=Ta9G/irkm4OlxAN/bJZSsvcgVocIzt6RoWDdU12sz5amVCLnX60Tezv6wiDxLZjarWdLR/al9dsCSYqauU1BWq/uusSR3t7r7iJqy7GuF+OIK+nWTq//jGnL4G7tPSu8,Sustainalytics,October 2016
MTR CORP LTD,China (Hong Kong),,Corporate - Consumer Discretionary,Green,12,2.45bn,August 2020,https://dl.luxse.com/dl?v=zjC7NjK3m1eD0AgSq3B6LMMEiTWb3nbONzpI/kRls9P388QpJKhL2Q5TKpq3T7cNq8Mpo6wIURanH5igiMeny1pAb1gLT+Ic6+TDIF4HG1Zri4v2ZureB0VEMpjjDDKo,Sustainalytics,August 2020
MUANGTHAI CAPITAL PCL,Thailand,,Financials - Consumer Finance,Social,1,0.34bn,,,Fitch Ratings,September 2024
MUENCHENER HYPOTHEKENBANK,Germany,,Financials - Consumer Finance,Green,8,4.13bn,,,ISS ESG,February 2022
MÜNCHENER HYPOTHEKENBANK EG,Germany,,Financials - Banking,Green,18,2.63bn,,,ISS ESG,February 2022
MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT A.G. MÜNCHEN,Germany,,Financials - Insurance,Green,4,3.91bn,September 2020,https://dl.luxse.com/dl?v=HL9LtQuWMfDcMAFd1S0/RVtfzCkWzslUAznwIQioPmbuG6CxjrKKFwtHMFGo64AQkQEJ8q7JoZ57iqexd+GBcCIuoV/LCS8ghYXIJfksnd6zpHeIa3i7vgaTADu9azGw,Sustainalytics,September 2020
MUNDYS SPA,Italy,,Corporate - Industrials,Sustainability Linked Bonds,2,1.36bn,,,Sustainalytics,December 2023
MUNICIPAL FINANCE AUTHORITY OF BRITISH COLUMBIA,Canada,,SSA - Quasi-sovereigns,Sustainability,8,3.47bn,,,,
MUNICIPALIDAD DE LA CIUDAD DE MENDOZA,Argentina,,SSA - Quasi-sovereigns,Green,1,0.00bn,June 2024,https://dl.luxse.com/dl?v=0eY/vYk9vfvMLdIXgKkSASuSPvDirnRBQraFWZZnQqGUzPe5X1YzK8Ps9/yjYv/CigFRUWluZ3xxpFbGDATgmwI+2ewANA9xLaTcWc5PW3KjqmHdpKKTsiB0RmqWVFH6,Fitch Ratings,June 2024
MUNICIPALITY CREDIT ICELAND PLC,Iceland,,SSA - Quasi-sovereigns,Green,1,0.01bn,October 2019,https://dl.luxse.com/dl?v=6d9cP9zVNfgb7KjSva06dwH6dzVh8Tdkg5b45hkaY8nDpUQfDo4/2gQVjD8HKrhnQ0ph3W5l6ZtcjCs4BhqxXjIHKqf1O6aFRR3GGVHf69E8Zo+WD5JG4FY7yqwKSnkU,Sustainalytics,October 2019
MUNICIPALITY OF SHENZHEN CHINA,China (mainland),,SSA - Quasi-sovereigns,Green,5,1.39bn,,,,
MUNICIPALITY OF SHENZHEN CHINA,China (mainland),,SSA - Quasi-sovereigns,Social,1,0.13bn,,,,
MUNICIPALITY OF SHENZHEN CHINA,China (mainland),,SSA - Quasi-sovereigns,Sustainability,1,0.14bn,,,,
MVM ENERGETIKA ZRT,Hungary,,Corporate - Utilities,Green,1,0.75bn,,,ISS ESG,May 2023
MY EG SERVICES BHD,Malaysia,,Corporate - Communications,Green,1,0.02bn,,,Malaysian Rating Corporation,October 2022
MY EG SERVICES BHD,Malaysia,,Corporate - Communications,Social,1,0.01bn,,,Malaysian Rating Corporation,October 2022
MY EG SERVICES BHD,Malaysia,,Corporate - Communications,Sustainability,7,0.18bn,,,Malaysian Rating Corporation,October 2022
NACIONAL FINANCIERA SNC,Mexico,,SSA - Quasi-sovereigns,Social,10,2.64bn,October 2021,https://dl.luxse.com/dl?v=XpUUlPadhLoY8+L0OCEnpyYY8aMXX8u5/8+2iMyemSqFxt8vD6O7mi6grXZn1bRi70yL8y9H+6MFBXVhf2NCahuuQDWGSt/RuJs/58DRyGPysWosCbHBFw8qv2D+SRDf,Sustainalytics,October 2021
NACIONAL FINANCIERA SNC,Mexico,,SSA - Quasi-sovereigns,Sustainability,1,0.32bn,October 2021,https://dl.luxse.com/dl?v=KhB2gvKj2c3gJBNct0E7/lTbgVAho3cnzyTX6ks/MiFzn/JD6nPpaeH+ZHXdZWCN4WDJhwCnQ/0jdyUK1/ORCDuyZyPXas22S9nahdXNF57Dx5Argmi6ewJtl2GHgbrg,Sustainalytics,October 2021
