Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
CANADIAN IMPERIAL BANK OF COMMERCE,Canada,,Financials - Banking,Green,2,1.04bn,September 2021,https://dl.luxse.com/dl?v=qS0OHIbIJOmq8mB9LANxZsyUIemXfDKQeD5Yish9AfxHKHOVvtRkMTbzpsA2IGKdgRRarm/UOBinsWxEufzvo9wdhgGGdbHf7B23VqqkpJeTbIzva+ercMrsqiWakyap,Sustainalytics,September 2021
CANADIAN SOLAR EMEA CAPITAL MARKETS SA,Spain,,Corporate - Energy,Green,1,0.03bn,,,Japan Credit Rating Agency,May 2020
CANADIAN SOLAR INFRASTRUCTURE FUND INC,Canada,,Financials - Real estate,Green,2,0.05bn,January 2021,https://dl.luxse.com/dl?v=Icm3P3+CeZGT/DDKpOaQVAdcvR5oB8V2jwfluGc824exHsgAV4ebw3v5dfKjCy8zwACU2TlrhiG+0IngEY/w1WU6w4C5kN4XQap3z9s44dCC0u+y/n3En2H16mpCcjht,Japan Credit Rating Agency,October 2024
CANARY WHARF GROUP INVESTMENT HOLDINGS PLC,United Kingdom,,Financials - Real estate,Green,6,1.25bn,,,ISS ESG,March 2021
CANTON OF BASEL-CITY,Switzerland,,SSA - Quasi-sovereigns,Green,4,0.70bn,,,ISS ESG,November 2024
CANTON OF BASEL-CITY,Switzerland,,SSA - Quasi-sovereigns,Social,1,0.11bn,,,ISS ESG,June 2022
CANTON OF GENEVA SWITZERLAND,Switzerland,,SSA - Quasi-sovereigns,Green,5,1.29bn,October 2019,https://dl.luxse.com/dl?v=xHfG2dN2CCnef3hzNeuJ1MBW/HCP7TBDLC/bg1uardsYPXHRyxNRmfyK+lptVECB3HyIFh+fPd5ppC6E+3hl09e7V+j5ufJvUja8jNJawAS0Ig7ZPKe3EdZbEu+4uAXi,V.E,October 2019
CANTON OF GENEVA SWITZERLAND,Switzerland,,SSA - Quasi-sovereigns,Social,1,0.05bn,November 2021,https://dl.luxse.com/dl?v=TM7QxQvYchxK7tNimSZVMZUu0FC8YkOq1St1KrwI5KR5FN+bqwQ4u/SkKtWH7P43AHMeJWv86qray609VHD9CX/09LuPEdaDl7xdYYczSirnGT6R2+Ty57LrBhUHoF13,Sustainalytics,November 2021
CAPAL COOPERATIVA AGROINDUSTRIAL,Brazil,,Financials - Financial services,Green,1,0.03bn,November 2023,https://dl.luxse.com/dl?v=bs+6GCVLLoVwgC4mZkgInHavrRd2xrB1W05MhjzJB7aZPSivSuZ/7sHTAl28JUpuH9cddNFonICZgQR3Z6JOFwnPSeqLrOapqBaduU6GbXqjL5rLMTSBCs8/Ivq+YsKO,Other,November 2023
CAPITAL POWER CORP,Canada,,Corporate - Utilities,Green,1,0.27bn,July 2022,https://dl.luxse.com/dl?v=W8Co16t0BtLaD+OrVJtJcuUpjcP/+1l/AkPV9VaUyL5NRzw63sUf11CmDJLe88F+8qXexYDvNZ08qEyD2q3RCxrFrTDthDWwNgEmuJPNqKhsfHEikrUnVjLbHbqCJwKw,Sustainalytics,July 2022
CAPMAN OYJ,Finland,,Financials - Financial services,Sustainability Linked Bonds,2,0.11bn,,,Moody's,May 2024
CARE PROPERTY INVEST,Belgium,,Financials - Real estate,Sustainability,1,0.04bn,November 2020,https://dl.luxse.com/dl?v=4OhDeCWN7LceRa2BlBFk8cOkTbm7/vCC8G1Dri1sDmGTYxf0SZJmSubrC9HnpYY94xP+tzDyLxESyWB+D3m/2vLsq09U6ycMQ8oZZ8Jv78XgFTeoLh+PB6rpMXJJpggv,Sustainalytics,November 2020
CARMILA SA,France,,Financials - Real estate,Green,2,0.55bn,October 2022,https://dl.luxse.com/dl?v=ZjxN2KQy2yoV65ObqKj5XhHjoCzCQ6EPdL8jBRbxpuJRDYjvP5a28k1KVUiRJ5lXzddzu9PneMNylvXKWLuYzzGnQGSF4Tp6cxnFxBCdVEAuPo6Ld1OvAQ8ot+HfM4Cs,Sustainalytics,October 2022
CARREFOUR S.A.,France,,Corporate - Consumer Staples,Sustainability Linked Bonds,6,4.68bn,,,Moody's,May 2022
CASSA CENTRALE BANCA-CREDITO COOPERATIVO DEL NORD EST S.P.A.,Italy,,Financials - Banking,Green,1,0.11bn,,,ISS ESG,August 2024
CASSA CENTRALE RAIFFEISEN DELL'ALTO ADIGE S.P.A.,Italy,,Financials - Banking,Green,1,0.03bn,,,,
CASSA CENTRALE RAIFFEISEN DELL'ALTO ADIGE S.P.A.,Italy,,Financials - Banking,Sustainability,2,0.04bn,December 2020,https://dl.luxse.com/dl?v=dtTG+Gpwtoqawk7LiZ5IJoUD+NYHb8YveA4TV9XUToBDQcMCOr6w0TeRcuPWdv3RHshoU50yAPxiiO5cs8imNnmJKCO2/oDCBPX0PAo+MvPikKQFdrUv1mYO+TGssDPd,PwC,December 2020
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Green,1,0.55bn,,,ISS ESG,February 2023
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Social,5,3.71bn,,,ISS ESG,June 2021
CASSA DEPOSITI E PRESTITI S.P.A.,Italy,,SSA - Quasi-sovereigns,Sustainability,1,0.75bn,,,ISS ESG,June 2021
CASTELLUM AB,Sweden,,Financials - Real estate,Green,7,0.46bn,,,Cicero,September 2022
CASTLE PEAK POWER FINANCE CO LTD,Virgin Islands,,Corporate - Utilities,Green,4,1.17bn,,,DNV GL,June 2020
CATELLA AB,Sweden,,Financials - Financial services,Green,1,0.06bn,,,S&P,August 2024
CATENA AB,Sweden,,Financials - Real estate,Green,7,0.42bn,April 2021,https://dl.luxse.com/dl?v=sm0rv/5RFNrwAm1mj5f3+reiMmgd+r/59xVLUX496groFSd1Uci7byJjhE/Ax5J7IdAkZmXd5vM6ulqbCdirW43fHlcemwLR2/DIyzcaBQMoHG+HD9mEri8etYYwCvT9,S&P,April 2024
CBQ FINANCE LTD,Bermuda,,Financials - Banking,Green,1,0.27bn,December 2023,https://dl.luxse.com/dl?v=j/Iek5fHU4CWMHP+3MN36F3Tsn1CitC1itbT/FjDHYjRCJ26c9OyDAhj1zIwtvRwh6L0WI+UPSYD2dSlOejCRyA0KWVRO0IZQbmWjxgdeA1BAFJX76XRyhMYIJDP3D9z,Sustainalytics,December 2023
CBRE GLOBAL INVESTORS OPEN-ENDED FUND SCA SICAV-SIF PAN EUROPEAN CORE FUND,Luxembourg,,Financials - Funds & Trusts,Green,3,2.00bn,October 2021,https://dl.luxse.com/dl?v=zLintf1HnP6a6YyJGTBr8KKQQnvQ4upCV1w7NaHSZiwwrl/vmXTaCC6fPixfauT99DMMAhmkvMH/52qe2JOonaoYc3ovsCvDChmgcUj1AmxxDfRM+w+EDpsTzlf8oksr,Sustainalytics,March 2024
CCCC URBAN INVESTMENT HOLDINGS CO LTD,China (mainland),,Financials - Real estate,Sustainability Linked Bonds,1,0.14bn,,,Other,October 2023
CCCI TREASURE LTD,China (mainland),,Corporate - Industrials,Green,3,0.99bn,,,,
CCT MTN PTE LTD,Singapore,,Financials - Real estate,Sustainability,1,0.09bn,,,,
CDP FINANCIAL INC.,Canada,,SSA - Quasi-sovereigns,Green,4,1.94bn,April 2021,https://dl.luxse.com/dl?v=vZHITFicbvGjBwkhjX5/oHl9hRDMCUV4Z3HrtzmEVXzyT8HxmuRRWHuRIE99Lt2KPKZBeoqBR/8O/6YUvTnNdS4p9uGnOo12BRNZurXeDQx2ShaxuRjKxedITfP0dFvF,Sustainalytics,April 2021
CECONOMY AG,Germany,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.54bn,,,S&P,June 2024
CELULOSA ARAUCO Y CONSTITUCION SA,Chile,,Corporate - Materials,Sustainability,7,1.00bn,October 2019,https://dl.luxse.com/dl?v=zLintf1HnP6a6YyJGTBr8ECDzE3ORumj5Mo9WC8X77OngzIR57LU+FncyqyTc3/MaQcaqV5kMAnLrvhJeM1OCarYhYTWaD7jAAGmIJPmex9whwaq53FABkhA1asH9jlA,Sustainalytics,October 2019
CEMEX S.A. DE C.V.,Mexico,,Corporate - Materials,Green,2,1.00bn,February 2023,https://dl.luxse.com/dl?v=UTcZIhi5LwsgWQKpY+upG399unzc6hy6b2gbSLWsZdB1SDOStuJj+Y6Vm7yYq7g1yOwbtV7F5F0dU0soqqSyG8uAP0Hatbx9YvJ5T7+RDZJ02EbHZ2AN9JYz+i/IDbu1,Sustainalytics,February 2023
CEMEX S.A. DE C.V.,Mexico,,Corporate - Materials,Sustainability Linked Bonds,2,0.64bn,August 2023,https://dl.luxse.com/dl?v=vUiBx+QDEXJfDzxIi/5apgq2uO9X1vL8Ma7SlmgOpPLvoFFC/UnNdb/mIWKDoBBK2v7O8G5gszlrBUHVGpsDpIDkzriYsLAvalrILt3+R0snzA17ReSRgBOFCX9NQah3,Sustainalytics,August 2023
CEMIG GERAÇÃO E TRANSMISSÃO S.A.,Brazil,,Corporate - Utilities,Green,2,0.19bn,,,Bureau Veritas,November 2022
CENERGI SEA BHD,Malaysia,,Financials - Financial services,Green,2,0.05bn,November 2021,https://dl.luxse.com/dl?v=Z+60zwlBu4hyQ1h1aBgkhoIhWZYdxgpomlYGWXiyHA7V04NZWxhQpS6l2eeRIURBfc8fSBZage5ON4ssdvx60rcz+SPzyVby+YEnishX96IjYq3QLqvCZg9w+cfPbhWc,RAM,November 2021
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,United States,,Corporate - Utilities,Green,1,0.30bn,February 2023,https://dl.luxse.com/dl?v=rULyYUoljxks8GERS4INhPxdW02e+iOPYH2iwXbrUVCqVDW6nTcWhYTEQutU+1hEGbZdiAhxSWwrEaRjMWzM9rO3LIsm+sG2Fg5x0Lj3DLaEU2jh6Mi8lylFlgKseUgu,Sustainalytics,February 2023
CENTRAIS ELETRICAS BRASILEIRAS S.A. - ELETROBRAS,Brazil,,Corporate - Utilities,Sustainability,1,0.61bn,,,ISS ESG,September 2023
CENTRAL AMERICA BOTTLING CORPORATION (THE),Virgin Islands,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,1.10bn,,,Sustainalytics,January 2022
CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,Supranationals,,SSA - Supranationals,Green,8,0.71bn,December 2022,https://dl.luxse.com/dl?v=YYQIYBN2wfrTw2TOwIawSAyfNodw7g2271dtF6qmRPgip/IdcplCtmoR85r28N0DKnJBlzVvZiZEE9bIIMJlkcbE8c6f4RhXbStz2HX7Mye5ONofVSrHoWlyZ7ig6jTT,Sustainalytics,December 2022
CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,Supranationals,,SSA - Supranationals,Social,19,3.82bn,January 2021,https://dl.luxse.com/dl?v=uNxE2X/dNeG+t5hGAMR27//22dh/RfGwdWXTNKQ8gT0fC29QAnCT0OWJa4aX7nVfU2/Mwsm5Y5JFmif0F3VBchJJ8x62ho0IMjL/sUxulhy8iiFuavMDFnu5aq1N39m4,Sustainalytics,January 2021
CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,Supranationals,,SSA - Supranationals,Sustainability,4,2.47bn,,,Moody's,November 2024
CENTRAL CHINA REAL ESTATE LTD,China (mainland),,Financials - Real estate,Green,1,0.26bn,December 2020,https://dl.luxse.com/dl?v=/713++gWKXfp85fyzhhIOTkwQbl6H7CgU432nJZ/+dyn0foyYemrqlznnNxIVFS+WXVRq3OLUJSV9yvrtsCeFgV6OW5N3kqpEF3D5k2gKDlneVYkoOK05oCxspgm8D9r,Sustainalytics,December 2020
CENTRAL INTERNATIONAL DEVELOPMENT BVI LTD,China (mainland),,Corporate - Utilities,Sustainability,1,0.35bn,,,,
CENTRAL JAPAN INTERNATIONAL AIRPORT CO LTD,Japan,,Corporate - Industrials,Social,3,0.20bn,,,R&I,February 2022
CENTRAL JAPAN RAILWAY COMPANY,Japan,,Corporate - Consumer Discretionary,Green,6,0.57bn,January 2022,https://dl.luxse.com/dl?v=sm0rv/5RFNrwAm1mj5f3+sjwLxeK/4dbSxaDfagmn8WwcrytcFOSGacVq20V2RygJOyRouYU94ME51EaGECxxFa92Esa+BD5ElKU1RN/3E02IXSl7yvestf/NOoRHMC6,R&I,January 2022
CENTRAL NIPPON EXPRESSWAY CO LTD,Japan,,Corporate - Industrials,Green,4,1.11bn,November 2020,https://dl.luxse.com/dl?v=Wr5TZ5NsqlOkxTr5P5BT54EuOxksE8EJShEskoMaAP5u6z4roDdi1kRFZpF3A4C/Is6JOKBeUFXiZIeycrrFl3AF4IqlGgvV9Lk5nWFZZ3CtWhWbv6RmbT112CNcYaX+,Japan Credit Rating Agency,February 2024
CENTRAL NIPPON EXPRESSWAY CO LTD,Japan,,Corporate - Industrials,Social,1,0.80bn,,,Japan Credit Rating Agency,February 2024
CENTRAL PATTANA PUBLIC COMPANY LIMITED,Thailand,,Financials - Real estate,Green,1,0.03bn,June 2022,https://dl.luxse.com/dl?v=nJylX/MfmfSVkgQVDMtNr0XX7W/i/JnLEGrerldqN8V6v4p4tc7AuumAUMcmbxF+wV+Gkv67cAh0TMlSEBDiiOdXfimIFqOzXdZ4IbgrVAnTXjjHc+qQactd1J4xx+J3,DNV GL,June 2022
CENTRAL PATTANA PUBLIC COMPANY LIMITED,Thailand,,Financials - Real estate,Sustainability Linked Bonds,2,0.24bn,July 2024,https://dl.luxse.com/dl?v=gcDuCBQcCMzkpoPwAS/m+HsI51qA3sfwSh0oYL8zKXqRspT6bK/PglegySgQu+L+yPqe6cBBQ4brWPQYwhRACmsV3DxiL2sGmwONHbNsvKj/VYyb/ByKmEUuXcChrNzj,DNV GL,July 2024
CENTURY HOUSING CORP,Canada,,Financials - Financial services,Social,2,0.00bn,June 2020,https://dl.luxse.com/dl?v=f9PQPF6TRHRGOc9lOKv/NA6iPpaIdTS6RDpU99eyLZ/ugwq1AVcxOxtX7ydOF57lJPErX95Gx3518Ndn92DdE0EhF+8vTVzdI2sLZLkloJxoY9nxSwcnELWrPsiNvFEj,Sustainalytics,June 2020
CENTURY HOUSING CORP,Canada,,Financials - Financial services,Sustainability,12,0.11bn,June 2020,https://dl.luxse.com/dl?v=wmV+Cy7co9HG89+Ef5OWVrwo2Z9MrQKNuBz0splEXPGL6XO/6xBmzP1VNiOpLRP3v8nfq2OFQwfdGd6OQCIO20RWhHY2n8ZlYW2KqxStnxCJjlSduNzpmJ79DSk4/Tj0,S&P,July 2021
CENTURY IRON & STEEL INDUSTRIAL CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.06bn,,,EY,July 2024
CESKA SPORITELNA AS,Czech Republic,,Financials - Banking,Green,2,1.14bn,,,ISS ESG,May 2021
CESKE DRAHY A.S.,Czech Republic,,Corporate - Consumer Discretionary,Green,1,0.49bn,,,Moody's,June 2022
CESKOSLOVENSKA OBCHODNI BANKA A.S.,Czech Republic,,Financials - Banking,Green,1,0.03bn,December 2022,https://dl.luxse.com/dl?v=tlyN7p84fzRgwj3FYORfHB6EfBpG7l/Kdw5v+UlVRAzmUrQEXj0XOop59upAjz16m+SX+C1qJO5kY5LN+rLZ4jcu9j2I7wVXaCgli75jEB2CIV9+ZTRxJPIEmoO4OZne,Sustainalytics,December 2022
CEZ A.S.,Czech Republic,,Corporate - Utilities,Sustainability Linked Bonds,3,2.26bn,,,ISS ESG,May 2024
CGN WIND ENERGY LTD,China (mainland),,Corporate - Energy,Green,5,0.85bn,,,China Lianhe,November 2022
CGNPC INTERNATIONAL LTD,China (Hong Kong),,Corporate - Utilities,Green,1,0.58bn,,,,
CHAILEASE FINANCE CO LTD,Taiwan,,Financials - Commercial Finance,Green,3,0.15bn,,,Deloitte,May 2021
CHANEL CERES PLC,United Kingdom,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.70bn,,,V.E,September 2020
CHANG DEVELOPMENT INTERNATIONAL LTD,Virgin Islands,,Corporate - Industrials,Green,4,0.60bn,,,Fitch Ratings,December 2023
CHANG HWA COMMERCIAL BANK LTD,Taiwan,,Financials - Banking,Social,1,0.03bn,,,EY,December 2023
CHANG HWA COMMERCIAL BANK LTD,Taiwan,,Financials - Banking,Sustainability,1,0.03bn,,,EY,December 2022
CHANGDE URBAN CONSTRUCTION AND INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.20bn,,,S&P,August 2022
"CHANGDE URBAN DEVELOPMENT GROUP CO., LTD",China (mainland),,Corporate - Industrials,Sustainability,2,0.30bn,,,Fitch Ratings,December 2023
CHANGSHA JINZHOU XINCHENG INVESTMENT HOLDING GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.07bn,,,China Lianhe,September 2024
CHANGXING URBAN CONSTRUCTION INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.11bn,,,HKQAA,August 2020
CHARGEURS SA,France,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.12bn,,,,
CHAUDIERE FINANCIAL LP,Canada,,Corporate - Utilities,Green,1,0.22bn,February 2019,https://dl.luxse.com/dl?v=6h/K5GIwjIe2b281HK656mzmqSa57ImCEAT1LqKIriaReDpsRTJr0bEyjOwRCbDjzcqnx1rQxP41ZDuJdrQVD73HeiVJEyhjcj2AvCI/NKkF6wt8nQH0UIdGkAbCPU1Q,Sustainalytics,February 2019
CHENGDU COMMUNICATIONS INVESTMENT GROUP CORPORATION LIMITED,China (mainland),,Corporate - Consumer Discretionary,Sustainability,2,0.60bn,,,Fitch Ratings,October 2024
CHENGDU ETDZ STATE-OWNED INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,2,0.50bn,,,,
CHENGDU RAIL TRANSIT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,3,0.44bn,,,China Lianhe,February 2019
CHENGDU SINO FRENCH ECOLOGICAL PARK INVESTMENT DEVELOPMENT CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.20bn,,,,
CHENGDU TIANFU NEW AREA INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.30bn,,,,
CHENGDU WUHOU INDUSTRIAL DEVELOPMENT INVESTMENT MANAGEMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.15bn,,,,
CHENGDU XINGJIN CONSTRUCTION DEVELOPMENT & INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.28bn,,,,
CHERY HUIYIN MOTOR FINANCE SERVICE CO LTD,China (mainland),,Financials - Consumer Finance,Green,3,0.42bn,,,Other,May 2024
CHIBA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Sustainability,2,0.21bn,,,Japan Credit Rating Agency,August 2023
CHILE (REPUBLIC OF),Chile,,SSA - Sovereigns,Green,4,7.46bn,,,V.E,November 2020
CHILE (REPUBLIC OF),Chile,,SSA - Sovereigns,Sustainability Linked Bonds,7,10.21bn,June 2023,https://dl.luxse.com/dl?v=ynZHzFkeItUhKRvwUalgVo3RMNr5xXP64kFNVVaUzTje3kevjGM/nL2+kmR/7wv40+Ci7+FYmk/P+rJR29Y7evt/O1R4/opYObjuTP9ob6+ccExG+1BwPuw696745cMo,Sustainalytics,June 2023
CHILE GOVERNMENT INTERNATIONAL BOND,Chile,,SSA - Sovereigns,Social,11,17.80bn,,,V.E,November 2020
CHILE GOVERNMENT INTERNATIONAL BOND,Chile,,SSA - Sovereigns,Sustainability,4,5.50bn,,,CBI,January 2022
CHINA CITIC BANK CORP LTD/LONDON,China (mainland),,Financials - Banking,Green,1,0.30bn,,,,
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,China (Hong Kong),,Financials - Banking,Sustainability Linked Bonds,1,0.55bn,,,EY,April 2021
CHINA CONSTRUCTION BANK CORP/HONG KONG,China (Hong Kong),,Financials - Banking,Green,1,1.00bn,,,,
CHINA CONSTRUCTION BANK CORP/LONDON,China (mainland),,Financials - Banking,Green,3,1.56bn,,,EY,May 2022
CHINA CONSTRUCTION BANK CORPORATION,China (mainland),,Financials - Banking,Green,5,2.63bn,,,EY,November 2023
CHINA CONSTRUCTION BANK CORPORATION,China (mainland),,Financials - Banking,Sustainability Linked Bonds,1,1.48bn,,,,
CHINA DEVELOPMENT BANK CORPORATION,China (mainland),,SSA - Quasi-sovereigns,Green,8,12.53bn,,,China Lianhe,August 2024
CHINA ENERGY ENGINEERING CORP LTD,China (mainland),,Corporate - Industrials,Green,1,0.17bn,,,Other,October 2021
CHINA EVERBRIGHT BANK CO LTD,China (mainland),,Financials - Banking,Green,1,2.75bn,,,China Lianhe,June 2023
CHINA EVERBRIGHT ENVIRONMENT GROUP LTD,China (Hong Kong),,Corporate - Utilities,Green,2,0.52bn,,,China Lianhe,January 2023
CHINA EVERBRIGHT GREENTECH LTD,Cayman Islands,,Corporate - Energy,Green,3,0.45bn,August 2018,https://dl.luxse.com/dl?v=hLoo7Vk7mMD6RyQiz0RU9Sjs13MEgRdooL3ju2QeLnkymgK0LVyFd9s4RECjfHASGP9s8uHc5Ir+kGS8UuPbpf1KMANpgUqy+3+XMsk8Tb/ySJKnzrwu1ABBMWAFc14g,China Lianhe,May 2022
CHINA HUADIAN CORPORATION,China (mainland),,Corporate - Utilities,Green,1,0.63bn,,,China Lianhe,March 2022
CHINA HUANENG GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.31bn,,,China Lianhe,December 2021
CHINA LONGYUAN POWER GROUP CORP LTD,China (mainland),,Corporate - Utilities,Green,1,0.35bn,,,Other,November 2024
CHINA MERCHANTS BANK CO LTD/LONDON,China (mainland),,Financials - Banking,Green,1,0.40bn,,,EY,June 2023
CHINA MERCHANTS BANK CO LTD/NEW YORK,United States,,Financials - Banking,Social,1,0.30bn,,,Moody's,July 2024
CHINA MERCHANTS BANK CO LTD/SYDNEY,Australia,,Financials - Banking,Green,1,0.40bn,,,Moody's,July 2024
"CHINA MERCHANTS BANK CO., LTD",China (mainland),,Financials - Banking,Green,5,3.70bn,,,EY,February 2022
CHINA MERCHANTS COMMERCE FINANCIAL LEASING CO LTD,China (mainland),,Financials - Commercial Finance,Green,1,0.07bn,,,China Lianhe,May 2024
CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO LTD,China (mainland),,Financials - Real estate,Green,2,0.13bn,,,China Lianhe,October 2023
CHINA MINSHENG BANKING CORP LTD/HONG KONG,China (Hong Kong),,Financials - Banking,Green,1,0.41bn,July 2022,https://dl.luxse.com/dl?v=XJID8xj3h6ItQS8tCGZPcIjLTAvvL+qrdYOoq6AA6HNYwJwN2VlY/7r+BdYfj54efLY53JE5VYHJ+beO0oP8H/FcCwRATaRsFncjNcTp2hDQThFHGFONkVBOduNPdto9,Sustainalytics,July 2022
CHINA OVERSEAS ENTERPRISE DEVELOPMENT GROUP CO LTD,China (Hong Kong),,Financials - Real estate,Green,3,0.59bn,,,China Lianhe,November 2022
CHINA OVERSEAS GRAND OCEANS PROPERTY GROUP CO LTD,China (mainland),,Financials - Real estate,Green,1,0.07bn,,,,
CHINA POWER INTERNATIONAL DEVELOPMENT LTD,China (Hong Kong),,Corporate - Utilities,Green,1,0.14bn,,,China Lianhe,October 2024
CHINA POWER INTERNATIONAL DEVELOPMENT LTD,China (Hong Kong),,Corporate - Utilities,Sustainability Linked Bonds,1,0.27bn,,,China Lianhe,April 2024
CHINA RESOURCES BUILDING MATERIALS TECHNOLOGY HOLDINGS LTD,China (mainland),,Corporate - Materials,Sustainability Linked Bonds,1,0.14bn,,,China Chengxin (CCX),March 2024
CHINA RESOURCES FINANCIAL LEASING CO LTD,China (mainland),,Financials - Commercial Finance,Green,1,0.11bn,,,,
CHINA SOUTHERN POWER GRID CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.29bn,,,China Lianhe,September 2022
CHINA STEEL CORPORATION,Taiwan,,Corporate - Materials,Green,1,0.05bn,,,Deloitte,April 2024
CHINA THREE GORGES RENEWABLES GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,2,0.61bn,,,China Lianhe,March 2022
CHINA VANKE CO LTD,China (mainland),,Financials - Real estate,Green,3,1.02bn,March 2021,https://dl.luxse.com/dl?v=mxrDZZ12fCMXxU8bcrrAElhRgqq3FlRLDbj1K95mWl6t32nT7YoYI955V7o5cW0uG2yKfp1S8a9JZn+6/PVhi6n7cEg3gfogdYZADUmcQKqSoOLlbDYJjHP8XCPr8cqW,China Lianhe,August 2022
CHINA WATER AFFAIRS GROUP LTD,China (mainland),,Corporate - Utilities,Green,2,0.42bn,April 2023,https://dl.luxse.com/dl?v=6lRH1dAqtz7vN7HIjbXYLBw4EQXyV84QSdw5B2LV3wdru/96WXCOxKHeHfGxInHZKSrNiwUxW34+LdPG77NKqn8dbuGB5TOGtPck7gR7IPXa/VUG+CevCxUBo3SEwFC3,Other,July 2024
CHINA YANTAI SALVAGE,China (mainland),,Corporate - Industrials,Green,1,0.05bn,,,,
CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,1,0.27bn,November 2021,https://dl.luxse.com/dl?v=mIHMJPeubA2wDU9U2eUsD2UV1dlqldlGWHpeqlNkaygOQIOzIB99Xl0ai5r2ZFfcOHBL5zBDTDAYwuP99bCclQ9G0ZP2gp4ImIlGnCwQTydPlGGnqANVeVvwV95Pe9jn,Sustainalytics,November 2021
CHONGQING AIRPORT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,2,0.18bn,,,China Lianhe,May 2022
CHONGQING JIANGJIN DISTRICT JIANGDING INDUSTRIAL DEVELOPMENT CO,China (mainland),,Corporate - Industrials,Sustainability,1,0.06bn,,,,
CHONGQING RAIL TRANSIT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,6,0.42bn,,,China Lianhe,December 2021
CHONGQING SOUTHERN NEW CITY INDUSTRIAL INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.20bn,,,,
CHONGQING TONGNAN CONSTRUCTION ENGINEERING GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,2,0.11bn,,,China Lianhe,March 2024
CHOUZHOU INTERNATIONAL INVESTMENT LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.40bn,,,,
CHRISTCHURCH CITY HOLDINGS LTD,New Zealand,,SSA - Quasi-sovereigns,Sustainability,1,0.11bn,,,EY,October 2021
CHUBU ELECTRIC POWER COMPANY INC.,Japan,,Corporate - Utilities,Green,3,0.31bn,,,DNV GL,November 2023
CHUGIN FINANCIAL GROUP INC,Japan,,Financials - Banking,Sustainability,2,0.13bn,,,Japan Credit Rating Agency,November 2024
CHUGOKU BANK LTD/THE,Japan,,Financials - Banking,Social,1,0.10bn,August 2020,https://dl.luxse.com/dl?v=6d9cP9zVNfgb7KjSva06dxUgA6yB92F0Lu3OBVOCWdy1svttJT9MZyEu7MexPySEwbWzzhtMiSTjOJZgSGHJvrCpmlBpobh0qJ4tFsFedZkj7ETmoZ7JTrbdTtJJEYl2,R&I,August 2020
CHUGOKU ELECTRIC POWER COMPANY INC. (THE),Japan,,Corporate - Utilities,Sustainability Linked Bonds,3,0.64bn,,,Japan Credit Rating Agency,June 2023
CHUNGCHEONGNAMDO DEVELOPMENT CORP,Korea,,SSA - Quasi-sovereigns,Green,2,0.04bn,,,Moody's,August 2024
CHUNGHWA TELECOM CO LTD,Taiwan,,Corporate - Communications,Sustainability,1,0.12bn,,,,
CHUO-NITTOCHI GROUP CO LTD,Japan,,Financials - Real estate,Green,3,0.23bn,,,Japan Credit Rating Agency,August 2021
CHUO-NITTOCHI GROUP CO LTD,Japan,,Financials - Real estate,Sustainability Linked Bonds,1,0.14bn,,,Japan Credit Rating Agency,January 2023
